date,screentime_phone,screentime_laptop
10/13/2025,349,74
10/14/2025,330,88
10/15/2025,303,261
10/16/2025,212,182
10/17/2025,295,6
10/18/2025,105,0
10/19/2025,125,121
10/20/2025,242,165
10/21/2025,217,238
10/22/2025,77,209
10/23/2025,106,64
10/24/2025,254,228
10/25/2025,185,0
10/26/2025,183,38
