date,mood_am,mood_pm,mentalfatigue_am,mentalfatigue_pm,productivity
10/13/25,2,2,2,4,4
10/14/25,3,3,3,3,4
10/15/25,2,2,3,4,2
10/16/25,4,4,4,2,4
10/17/25,2,2,3,4,3
10/18/25,4,4,4,3,2
10/19/25,2,4,2,3,1
10/20/25,2,3,3,3,1
10/21/25,3,2,4,4,4
10/22/25,3,2,3,2,5
10/23/25,3,3,3,4,2
10/24/25,2,2,2,3,1
10/25/25,3,2,3,3,1
10/26/25,3,3,3,2,3
