date,screentime_phone,screentime_laptop
10/13/2025,204,231
10/14/2025,262,164
10/15/2025,355,301
10/16/2025,237,190
10/17/2025,191,355
10/18/2025,254,19
10/19/2025,233,201
10/20/2025,392,274
10/21/2025,215,154
10/22/2025,433,213
10/23/2025,394,108
10/24/2025,101,188
10/25/2025,241,7
10/26/2025,310,94
