date,mood_am,mood_pm,mentalfatigue_am,mentalfatigue_pm,productivity
10/13/25,5,5,3,2,3
10/14/25,2,4,4,4,5
10/15/25,5,4,4,5,2
10/16/25,4,3,5,2,4
10/17/25,5,2,3,3,1
10/18/25,4,3,3,5,2
10/19/25,2,5,5,3,3
10/20/25,5,4,3,2,4
10/21/25,4,3,4,5,3
10/22/25,5,3,4,3,4
10/23/25,4,5,2,5,4
10/24/25,4,4,3,5,2
10/25/25,5,4,4,4,1
10/26/25,4,4,5,3,2
