date,screentime_phone,screentime_laptop
10/13/2025,396,86
10/14/2025,413,112
10/15/2025,297,101
10/16/2025,563,241
10/17/2025,651,78
10/18/2025,357,0
10/19/2025,610,56
10/20/2025,443,348
10/21/2025,324,116
10/22/2025,362,150
10/23/2025,351,247
10/24/2025,418,173
10/25/2025,263,0
10/26/2025,211,131
